ID;Bedingung;Block;BlockStart;BlockEnd;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
1;RE;1;2022-01-23_14-52-04;;TP;1;4;4,183483;4,183459;4,385705;3,385113;0,20
1;RE;1;2022-01-23_14-52-04;;MWD;1;7;5,391357;5,909519;6,120055;0,52;0,21
1;RE;1;2022-01-23_14-52-04;;TP;2;7;7,124343;7,74502;7,943613;0,62;0,20
1;RE;1;2022-01-23_14-52-04;;MWD;2;1;8,946382;9,449298;9,653717;0,50;0,20
1;RE;1;2022-01-23_14-52-04;;TP;3;2;10,65536;11,14702;11,34356;0,49;0,20
1;RE;1;2022-01-23_14-52-04;;MWD;3;2;12,34753;12,80793;13,01587;0,46;0,21
1;RE;1;2022-01-23_14-52-04;;TP;4;1;14,01865;14,5031;15,16972;0,48;0,67
1;RE;1;2022-01-23_14-52-04;;MWD;4;4;16,17478;16,67762;16,88429;0,50;0,21
1;RE;1;2022-01-23_14-52-04;;TP;5;2;17,88909;18,45563;18,67134;0,57;0,22
1;RE;1;2022-01-23_14-52-04;;MWD;5;2;19,67715;20,21342;20,42573;0,54;0,21
1;RE;1;2022-01-23_14-52-04;;TP;6;4;21,42792;22,00566;22,22662;0,58;0,22
1;RE;1;2022-01-23_14-52-04;;MWD;6;1;23,23253;23,78236;24,01235;0,55;0,23
1;RE;1;2022-01-23_14-52-04;;TP;7;1;25,01484;25,55278;25,78804;0,54;0,24
1;RE;1;2022-01-23_14-52-04;;MWD;7;4;26,793;27,36222;27,58751;0,57;0,23
1;RE;1;2022-01-23_14-52-04;;TP;8;7;28,5918;29,20232;29,44146;0,61;0,24
