ID;Bedingung;Block;BlockStart;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
;RE;;2022-02-15_14-14-31;TP;1;2;38,40798;38,40797;39,09701;4,405354;0,69
;RE;;2022-02-15_14-14-31;MWD;1;2;41,15882;44,38403;45,57585;3,23;1,19
;RE;;2022-02-15_14-14-31;TP;2;7;47,57948;57,21442;57,69643;9,63;0,48
;RE;;2022-02-15_14-14-31;MWD;2;7;59,70003;61,96377;62,15604;2,26;0,19
;RE;;2022-02-15_14-14-31;TP;3;4;64,16148;68,58864;69,01344;4,43;0,42
;RE;;2022-02-15_14-14-31;MWD;3;4;71,01784;73,75498;74,10114;2,74;0,35
;RE;;2022-02-15_14-14-31;TP;4;1;76,10732;79,26402;79,52228;3,16;0,26
;RE;;2022-02-15_14-14-31;MWD;4;1;81,52496;446,6879;448,8096;365,16;2,12
;RE;;2022-02-15_14-14-31;TP;5;2;450,817;455,3569;455,7945;4,54;0,44
;RE;;2022-02-15_14-14-31;MWD;5;2;457,8039;460,3513;460,8999;2,55;0,55
;RE;;2022-02-15_14-14-31;TP;6;7;462,9068;466,3474;466,7627;3,44;0,42
;RE;;2022-02-15_14-14-31;MWD;6;4;468,7678;471,1952;471,6196;2,43;0,42
;RE;;2022-02-15_14-14-31;TP;7;4;473,6267;476,7496;477,1564;3,12;0,41
