ID;Bedingung;Block;Frame;Framerate;Position;Rotation;Timestamp
2;VRbio;6;0;0,3333333;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,759479
2;VRbio;6;1;0,0318075;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,774001
2;VRbio;6;2;0,0042779;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,778035
2;VRbio;6;3;0,0029719;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,781003
2;VRbio;6;4;0,0027907;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,783796
2;VRbio;6;5;0,003224;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,787017
2;VRbio;6;6;0,0027537;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,789905
2;VRbio;6;7;0,0030624;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,792822
2;VRbio;6;8;0,0031632;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,796008
2;VRbio;6;9;0,0030586;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,799065
2;VRbio;6;10;0,0026768;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,801722
2;VRbio;6;11;0,002793;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,804528
2;VRbio;6;12;0,0028293;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,807344
2;VRbio;6;13;0,0026377;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,810127
2;VRbio;6;14;0,0028172;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,812807
2;VRbio;6;15;0,0029973;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,81581
2;VRbio;6;16;0,0028293;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,818626
2;VRbio;6;17;0,0027128;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,821343
2;VRbio;6;18;0,0026061;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,823946
2;VRbio;6;19;0,0029088;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,826865
2;VRbio;6;20;0,0029161;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,829917
2;VRbio;6;21;0,003169;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,832951
2;VRbio;6;22;0,0026329;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,835575
2;VRbio;6;23;0,0032748;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,838856
2;VRbio;6;24;0,0026981;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,841544
2;VRbio;6;25;0,0031615;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,84481
2;VRbio;6;26;0,0030026;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,847714
2;VRbio;6;27;0,0029936;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,850839
2;VRbio;6;28;0,0026666;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,853362
2;VRbio;6;29;0,0024818;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,855842
2;VRbio;6;30;0,0026869;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,858543
2;VRbio;6;31;0,0028554;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,861393
2;VRbio;6;32;0,0030049;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,864511
2;VRbio;6;33;0,0029354;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,867361
2;VRbio;6;34;0,0028352;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,870355
2;VRbio;6;35;0,0032633;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,873443
2;VRbio;6;36;0,0027426;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,876177
2;VRbio;6;37;0,0030223;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,879203
2;VRbio;6;38;0,0026445;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,881865
2;VRbio;6;39;0,0025222;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,884358
2;VRbio;6;40;0,0025211;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,886882
2;VRbio;6;41;0,0025112;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,889548
2;VRbio;6;42;0,0031615;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,892569
2;VRbio;6;43;0,0028933;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);2,895464
