ID;Bedingung;Block;BlockStart;TaskType;Trial;Intervall;TrialStart;Press 1;Press 2;TimeToStart;Estimation
22;VRbio;2;2022-03-05_11-06-01;MWD;1;8;6,499401;9,810627;20,01482;3,31;10,20
22;VRbio;2;2022-03-05_11-06-01;TP;1;4;24,02757;24,82985;29,23023;0,80;4,40
22;VRbio;2;2022-03-05_11-06-01;MWD;2;1;33,24667;34,01044;37,77438;0,76;3,76
22;VRbio;2;2022-03-05_11-06-01;TP;2;2;41,79752;42,71282;45,51651;0,92;2,80
22;VRbio;2;2022-03-05_11-06-01;MWD;3;2;49,53571;50,7093;55,64649;1,17;4,94
22;VRbio;2;2022-03-05_11-06-01;TP;3;8;59,65779;60,51009;69,91064;0,85;9,40
22;VRbio;2;2022-03-05_11-06-01;MWD;4;4;73,93096;74,646;82,22978;0,72;7,58
22;VRbio;2;2022-03-05_11-06-01;TP;4;1;86,2409;87,24666;88,44142;1,01;1,19
22;VRbio;2;2022-03-05_11-06-01;MWD;5;2;92,46184;93,07676;97,64497;0,61;4,57
22;VRbio;2;2022-03-05_11-06-01;TP;5;1;101,6657;102,4929;104,1299;0,83;1,64
22;VRbio;2;2022-03-05_11-06-01;MWD;6;4;108,145;108,7475;116,242;0,60;7,49
22;VRbio;2;2022-03-05_11-06-01;TP;6;2;120,2635;120,9897;123,4252;0,73;2,44
22;VRbio;2;2022-03-05_11-06-01;MWD;7;1;127,4483;128,5961;132,2265;1,15;3,63
22;VRbio;2;2022-03-05_11-06-01;TP;7;4;136,2474;137,2309;142,2128;0,98;4,98
22;VRbio;2;2022-03-05_11-06-01;MWD;8;8;146,2321;147,6627;159,8601;1,43;12,20
22;VRbio;2;2022-03-05_11-06-01;TP;8;8;163,8821;164,4075;173,1971;0,53;8,79
22;VRbio;2;2022-03-05_11-06-01;MWD;9;8;177,2177;177,8435;189,8963;0,63;12,05
22;VRbio;2;2022-03-05_11-06-01;TP;9;4;193,9168;194,5092;199,4913;0,59;4,98
22;VRbio;2;2022-03-05_11-06-01;MWD;10;4;203,5106;204,2481;211,5089;0,74;7,26
22;VRbio;2;2022-03-05_11-06-01;TP;10;8;215,5307;216,3245;225,3938;0,79;9,07
22;VRbio;2;2022-03-05_11-06-01;MWD;11;2;229,4149;230,1411;234,7093;0,73;4,57
22;VRbio;2;2022-03-05_11-06-01;TP;11;1;238,7299;239,647;240,663;0,92;1,02
22;VRbio;2;2022-03-05_11-06-01;MWD;12;1;244,6831;245,4987;248,5818;0,82;3,08
22;VRbio;2;2022-03-05_11-06-01;TP;12;2;252,603;253,1078;255,1623;0,50;2,05
22;VRbio;2;2022-03-05_11-06-01;MWD;13;1;259,1821;259,7082;262,7897;0,53;3,08
22;VRbio;2;2022-03-05_11-06-01;TP;13;8;266,8111;267,3922;276,2956;0,58;8,90
22;VRbio;2;2022-03-05_11-06-01;MWD;14;4;280,315;280,807;287,9784;0,49;7,17
22;VRbio;2;2022-03-05_11-06-01;TP;14;4;292,0106;292,7144;296,9582;0,70;4,24
22;VRbio;2;2022-03-05_11-06-01;MWD;15;8;300,9779;301,7504;313,2661;0,77;11,52
22;VRbio;2;2022-03-05_11-06-01;TP;15;2;317,2878;317,9467;320,0578;0,66;2,11
22;VRbio;2;2022-03-05_11-06-01;MWD;16;2;324,0778;324,7831;328,747;0,71;3,96
22;VRbio;2;2022-03-05_11-06-01;TP;16;1;332,7699;333,5636;334,5569;0,79;0,99
22;VRbio;2;2022-03-05_11-06-01;MWD;17;2;338,5885;339,314;343,8153;0,73;4,50
22;VRbio;2;2022-03-05_11-06-01;TP;17;1;347,8266;348,5306;349,7134;0,70;1,18
22;VRbio;2;2022-03-05_11-06-01;MWD;18;8;353,7346;354,5834;365,4741;0,85;10,89
22;VRbio;2;2022-03-05_11-06-01;TP;18;8;369,4947;370,2322;379,3801;0,74;9,15
22;VRbio;2;2022-03-05_11-06-01;MWD;19;1;383,4015;384,1286;386,3801;0,73;2,25
22;VRbio;2;2022-03-05_11-06-01;TP;19;4;390,3935;390,9969;395,8652;0,60;4,87
22;VRbio;2;2022-03-05_11-06-01;MWD;20;4;399,8771;400,6472;408,757;0,77;8,11
22;VRbio;2;2022-03-05_11-06-01;TP;20;2;412,7779;413,1451;415,6603;0,37;2,52
